995,935,936
802,803,862
307,366,306
245,303,244
942,941,881
204,205,263
242,302,301
258,257,198
249,308,307
481,541,540
126,125,67
240,241,299
254,255,313
478,538,537
119,177,118
934,935,994
413,472,412
905,845,906
502,562,561
926,865,866
933,873,934
814,874,873
744,745,804
44,103,102
140,199,139
811,812,871
855,795,856
673,733,732
166,224,165
99,157,98
7,65,6
5,6,63
248,189,249
256,314,255
417,477,476
240,181,241
251,191,192
212,271,211
250,309,249
248,249,307
369,310,311
259,260,319
422,421,362
362,361,303
500,501,560
361,421,420
299,359,358
468,410,469
301,302,361
393,334,394
483,484,542
532,531,472
544,604,603
594,593,534
495,496,554
619,559,560
919,860,920
532,590,531
531,530,472
790,850,789
593,652,592
861,862,921
657,598,658
804,863,803
726,727,786
643,644,702
728,787,727
541,482,542
585,644,584
543,544,602
844,784,845
371,429,370
499,500,558
553,554,613
554,494,495
784,785,845
873,874,934
856,916,855
948,947,887
921,920,860
917,916,857
990,929,930
1036,976,977
838,898,837
922,921,862
981,920,921
863,923,862
981,921,922
980,979,920
1050,990,991
811,871,870
672,731,730
820,880,819
743,802,742
825,824,765
577,576,518
671,730,729
469,410,411
436,437,495
265,266,324
400,341,401
289,348,288
562,563,621
622,563,564
70,128,69
206,265,205
160,219,159
223,224,283
202,143,203
166,165,107
111,169,110
157,99,158
229,228,169
221,220,162
37,95,36
118,59,60
65,64,6
2,3,60
94,95,153
177,176,118
222,163,223
122,181,180
189,190,249
298,297,238
180,181,240
182,183,241
247,307,306
127,128,186
251,192,252
189,129,130
254,195,255
8,65,7
91,33,92
76,17,18
188,128,129
64,63,6
73,74,132
12,70,11
80,138,79
75,74,17
78,79,137
12,71,70
141,83,142
84,142,83
141,82,83
92,33,34
203,204,263
270,271,329
205,146,206
208,266,207
207,266,265
332,274,333
190,130,131
194,195,253
143,202,142
140,200,199
198,139,199
201,259,200
142,202,201
203,263,262
366,365,306
242,301,241
305,247,306
308,309,367
465,407,466
309,308,249
435,434,376
312,370,311
320,321,379
318,317,258
383,324,325
322,263,264
375,434,374
422,480,421
557,617,616
491,490,431
461,462,520
504,564,563
426,486,485
360,418,359
428,429,487
487,546,486
494,493,434
494,554,553
362,421,361
358,357,299
425,485,484
482,481,422
423,482,422
483,542,482
303,302,244
361,360,301
304,303,245
361,302,303
308,366,307
363,423,422
418,417,359
472,471,412
420,419,360
477,417,418
300,301,359
300,241,301
530,471,472
590,530,531
533,592,532
532,592,591
416,475,415
532,472,473
650,649,590
976,916,917
473,474,532
536,596,595
535,595,594
656,597,598
598,597,538
603,604,662
477,478,536
539,598,538
479,539,538
540,598,539
542,600,541
700,641,642
595,596,655
718,719,778
777,717,718
666,667,725
651,709,650
657,716,656
651,652,711
777,776,717
711,710,651
827,766,767
768,767,708
766,707,767
829,769,770
767,707,708
947,946,887
836,896,895
826,766,827
950,951,1011
948,949,1009
952,951,892
950,890,951
892,893,952
892,832,893
895,896,955
834,833,774
889,890,949
832,833,893
890,891,951
830,829,770
776,777,836
837,896,836
777,837,836
915,916,975
964,963,904
898,897,837
966,965,906
900,960,959
846,906,845
965,964,904
1008,1007,948
1020,960,961
1023,963,1024
912,972,911
966,906,907
1031,970,971
1033,973,1034
850,910,849
913,912,853
907,906,847
914,913,854
914,974,913
918,917,858
856,795,796
787,788,847
854,913,853
851,850,790
855,914,854
854,794,855
857,916,856
777,778,837
844,845,905
783,784,843
849,910,909
788,849,848
851,911,910
544,545,604
544,486,545
545,546,604
545,486,546
759,700,760
547,605,546
608,550,609
548,489,490
785,786,845
848,907,847
550,551,609
490,489,431
673,672,613
555,554,496
504,563,562
627,626,568
623,622,564
621,563,622
566,565,507
579,638,578
508,450,509
511,570,569
466,467,525
575,576,634
688,629,630
565,564,505
746,745,686
804,803,744
687,628,629
624,623,565
702,703,762
621,620,561
619,620,678
685,745,744
622,623,682
686,745,685
626,686,685
687,746,686
854,853,793
734,793,733
979,919,920
977,976,917
860,800,801
801,741,742
1035,975,976
1040,979,980
863,924,923
984,923,924
865,925,924
984,924,925
1041,1040,981
927,926,866
983,982,923
925,865,926
864,804,865
761,821,820
805,745,746
869,868,808
865,804,805
867,927,866
985,984,925
930,870,871
866,865,805
931,871,932
870,869,809
816,876,875
877,936,876
933,992,932
988,987,927
982,1041,981
1051,1050,991
1046,1045,986
817,818,878
877,876,817
1061,1001,1062
1000,941,1001
878,819,879
941,940,880
884,883,823
881,880,821
884,825,885
753,694,754
759,760,819
819,880,879
757,698,699
817,816,757
765,824,764
764,823,763
807,747,748
812,813,873
815,755,756
814,875,874
810,809,750
691,690,632
704,763,762
690,631,632
583,584,642
639,638,579
692,632,633
578,637,577
512,511,453
523,582,522
757,758,817
697,755,696
764,763,704
637,578,638
528,527,469
462,522,521
526,467,527
461,460,401
528,469,529
468,467,408
234,292,233
229,169,170
288,347,287
291,232,233
410,350,351
347,346,287
343,284,344
399,340,341
407,467,466
408,407,349
345,344,286
519,460,520
387,388,446
460,461,520
521,580,520
522,463,523
404,403,345
508,507,448
322,380,321
512,453,513
447,448,506
515,516,575
519,578,518
501,441,442
377,376,317
508,448,449
378,436,377
507,508,567
509,567,508
384,385,443
387,446,445
325,326,385
449,450,508
210,211,270
277,278,336
392,391,333
392,451,391
386,385,326
272,271,213
339,397,338
451,450,391
517,458,518
458,398,399
155,215,214
216,274,215
157,217,216
220,280,279
210,209,150
156,155,97
206,147,207
211,271,270
152,153,212
213,271,212
155,214,213
215,274,214
94,152,93
209,208,149
143,84,85
85,27,28
42,101,100
103,104,162
98,157,156
152,211,151
46,47,104
46,103,45
104,105,163
109,108,51
109,167,108
228,227,169
224,223,165
53,54,112
219,160,220
161,102,103
163,221,162
283,224,284
287,286,228
285,286,344
288,229,230
287,228,229
288,287,229
230,229,171
173,232,231
172,171,113
168,167,109
113,171,112
173,233,232
55,56,113
174,234,233
57,115,56
59,1,2
62,120,61
59,2,60
4,61,3
122,121,63
60,3,61
63,4,5
63,62,4
10,69,68
