0,0,0,0,0,0.1945,0.35508,0.46032,0.3557,0.13138,0,0,0,0,0,0.14014,0.087751,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013724,0.0409,0.04268,0.026413,0.018178,0,0,0,0,0,0,0,0,0,0,0,0.044423,0.03583,0,0,0,0,0,0,0,0,0,0,0.19213,0.4046,0.46915,0.42203,0.30304,0.16892,0.065158,0.0078316,0,0,0,0.065207,0.11905,0.15512,0.19555,0.24141,0.2384,0.16992,0.060393,0,0,0,0,0,0,0,0,0.085897,0.21385,0.21591
1.8929e-12,0.22219,0.31117,0.27631,0.19342,0.098102,0.013714,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063063,0.14522,0.17925,0.15922,0.11162,0.066127,0.03509,0.021371,0.014731,0,0,0,0,0,0,0.19414,0.30592,0.38169,0.38467,0.29351,0.13219,0.029429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15899,0.27051,0.25884,0.18306,0.080357,0.0033386,0,0,0,0,0.055747,0.079319,0.13741,0.1909,0.1782,0.12541,0.045981,0,0,0,0,0,0.0055274,0,0,0,0.0010061,0,0.076922,0.091605
0,0,0,0,0.0071212,0,0.0045751,0,0.005348,0.05802,0.08566,0.08453,0.026027,0,0,0,0,0,0.0074762,0.0052133,0,0.018564,0.036086,0.040792,0.049312,0.065884,0.13776,0.073605,0.0056575,0,0,0,0,0.028875,0.1428,0.067584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0528,0.045451,0.037037,0.000727,0,0,0,0,0,0,0,0,0.020493,0.21706,0.31542,0.41277,0.53095,0.65058,0.75828,0.83735,0.86969,0.8425,0.74696,0.63347,0.51039,0,0,0.012094,0.023281,0.010569,0.24676,0.24918
9.6315e-13,0,0,0,0,0,0,0,0,0.42793,0.54071,0.60764,0.66515,0.58061,0.39385,0.15958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20127,0.20345,0.20857,0.22291,0.12166,0.019781,0,0,0,0,0,0,0.32852,0.29315,0.19522,0.081711,0.023401,0.0063014,0,0,0,0,0,0.11378,0.091972,0.040603,0.036423,0.012502,0,0,0,0,0,0.060769,0.20631,0.21429,0.20195,0.20567,0.21618,0.25177,0.2822,0.30244,0.29799,0.29556,0.28614,0.27554,0.26129,0.21872,0.15791,0.050985,0,0.12544,0.16698,0.12381,0.070619,0.1909,0.18936
7.4696e-13,0.074968,0.1257,0.075672,0.037184,0.052064,0.10917,0.091894,0.017158,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085745,0.066528,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043022,0.069139,0.096553,0.084865,0.041717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006666,0,0.019858,0.055077,0.052964,0.011326,0,0,0,0,0,0,0,0.013375,0.12771,0.3413,0.52744,0.55208,0.45417,0.29688,0.17304,0.10675,0.12356,0.0086683,0,0.00070046,0,0,0
0,0,0,0,0,0,0,0,0.0059204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00048232,0,0.012223,0.056178,0.080766,0.099419,0.10622,0.10377,0.073823,0.030389,0,0,0,0,0.088983,0.22368,0.18868,0.12803,0.085453,0.08627,0.10081,0.10271,0.098082,0.079582,0.029886,0,0,0.0038028,0,0,0,0,0,0,0,0,0,0,0.1799,0.35308,0.36513,0.31431,0.21616,0.12663,0,0,0,0,0,0,0
3.9436e-13,0,0,0,0,0,0,0,0,0.2315,0.38459,0.49602,0.65654,0.60189,0.43096,0.19767,0.005476,0,0,0,0,0,0,0,0.074082,0.04634,0.0029462,0,0,0,0,0.18041,0.13884,0.092024,0.041834,0.023283,0,0,0,0,0,0,0,0.19589,0.19661,0.18396,0.13154,0.075374,0.029203,0,0,0,0,0,0.062756,0.035122,0,0,0,0,0,0,0,0,0.012713,0.10584,0.13332,0.13951,0.16417,0.15279,0.1142,0.080117,0.050869,0.011015,0,0,0,0,0,0,0,0.049303,0.095365,0.13035,0.11139,0.066409,0,0.00011938
1.7918e-13,0,0,0,0,0,0,0,0,0,0,0.030608,0.014531,0,0,0,0,0,0,0,0.0068186,0,0,0,0.15895,0.15364,0.084332,0.017324,0,0,0,0,0,0,0,0,0,0,0,0.16693,0.18794,0.16419,0.10944,0.011044,0,0,0.098539,0.095798,0.10821,0.15646,0.192,0.22521,0.19485,0.26392,0.30809,0.37783,0.42895,0.50848,0.45504,0.35601,0.25617,0.18594,0.13633,0.06811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052912,0.10093,0.073901,0,0.073146,0.1716,0.23117,0.20654,0.040147,0.0014293
4.3398e-13,0,0.010613,0.18377,0.17404,0.11392,0.059663,0.017388,0,0,0,0,0,0,0,0,0,0,0.02441,0.0014948,0,0,0.034612,0.043669,0.080339,0.097857,0.15758,0.10696,0.048997,0,0,0,0,0,0.07905,0.030452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035616,0.017163,0,0,0,0,0,0,0,0,0,0,0.17604,0.29349,0.41047,0.52457,0.66681,0.75143,0.79113,0.801,0.76612,0.66373,0.5281,0.38253,0,0,0,0,0,0.2919,0.3101
0,0,0,0,0,0,0,0,0,0.17482,0.20958,0.21468,0.18166,0.061783,0,0,0,0,0.0071278,0.026686,0.014898,0,0,0,0,0.0058447,0.002631,0.021954,0.12051,0.080176,0.0077935,0,0,0,0,0,0.075499,0.20004,0.19703,0.12723,0.030572,0,0,0,0.11863,0.096867,0.047469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040896,0.029573,0.0015908,0,0,0,0,0,0,0,0,0,0.21935,0.32885,0.39142,0.42883,0.40705,0.35505,0.26511,0.065349,0.049535,0.098286,0.24757,0.2398,0.16519,0.15133
